Date,Close-Last,Volume,Open,High,Low
06/24/2022,141.66,89116840,139.9,141.91,139.77
06/23/2022,138.27,72433770,136.82,138.59,135.63
06/22/2022,135.35,73409230,134.79,137.76,133.91
06/21/2022,135.87,81000490,133.42,137.06,133.32
06/17/2022,131.56,134520300,130.065,133.079,129.81
06/16/2022,130.06,107961500,132.08,132.39,129.04
06/15/2022,135.43,91532970,134.29,137.34,132.16
06/14/2022,132.76,84784330,133.13,133.89,131.48
06/13/2022,131.88,122207100,132.87,135.2,131.44
06/10/2022,137.13,91566640,140.28,140.76,137.06
06/09/2022,142.64,69472980,147.08,147.95,142.53
06/08/2022,147.96,53950200,148.58,149.8697,147.46
06/07/2022,148.71,67808150,144.345,149,144.1
06/06/2022,146.14,71598380,147.03,148.5689,144.9
06/03/2022,145.38,88570290,146.9,147.97,144.46
06/02/2022,151.21,72348060,147.83,151.27,146.86
06/01/2022,148.71,74286640,149.9,151.74,147.68
05/31/2022,148.84,103718400,149.07,150.66,146.84
05/27/2022,149.64,90978500,145.39,149.68,145.26
