Date,Close,Volume,Open,High,Low
06/24/2022,$387.72,3305337,$380.64,$388.06,$378.22
06/23/2022,$376.64,2534343,$371.71,$378.18,$367.47
06/22/2022,$365.33,3168159,$360.79,$372.55,$358.2228
06/21/2022,$362.99,5343494,$355.02,$372.795,$353.51
06/17/2022,$360.79,9475054,$349.24,$367.32,$338
06/16/2022,$365.08,5775295,$369.37,$376.12,$360.9
06/15/2022,$376.92,3664477,$376.03,$382.75,$368.5
06/14/2022,$370.82,3197215,$371.44,$376.89,$367.31
06/13/2022,$371.65,4724765,$377.36,$385.65,$371.085
06/10/2022,$393.84,4407524,$412.9,$413.96,$390.185
06/09/2022,$426.42,2572418,$424.17,$436.04,$423.48
06/08/2022,$428.84,1790134,$430.54,$433.75,$426.42
06/07/2022,$433.42,1611182,$423.98,$435.2,$423.12
06/06/2022,$429.46,1563987,$437.59,$440,$427.0361
06/03/2022,$429.76,2355536,$430.71,$438.01,$427.255
06/02/2022,$441.28,3415664,$418.11,$441.9,$415.84
06/01/2022,$418.16,3409856,$428,$437.549,$413.785
05/31/2022,$416.48,7944164,$427.22,$427.29,$412.79
05/27/2022,$428.22,3560381,$414.8,$428.55,$414.63
